round,person,ticket,match,market,stake
2,Psík,466dbc92,1312146,2,42
2,Šárkys,b8d55ac8,1312146,2,20
2,Ejdm,f00901c5,1312146,2,30
2,Ejdm,f00901c5,1312148,2,30
2,Šárkys,49883dc9,1312146,2,10
2,Šárkys,49883dc9,1312148,2,10
2,Šárkys,49883dc9,1312151,2,10
2,Štěpa,e5b961ec,1312146,2,100
2,Štěpa,e5b961ec,1312148,2,100
2,Štěpa,e5b961ec,1312151,2,100
2,Michal,bd9422f1,1312146,2,50
2,Michal,bd9422f1,1312151,2,50
2,Schejby,5f4be1a7,1312150,2,15
2,Schejby,5f4be1a7,1312151,2,15
2,Žoužel,14bdb8b3,1312146,2,100
2,Žoužel,14bdb8b3,1312147,1,100
2,Žoužel,14bdb8b3,1312148,2,100
2,Radek,f679ca89,1312147,1,50
2,Radek,f679ca89,1312148,2,50
